sensor,x_gt,y_gt,vx_gt,vy_gt,yaw_gt,yawdot_gt,px,py,vx,vy,yaw,yawdot,NIS
R,-18.4119,12.8105,0.1731,5.1699,-1.6043,-0.5310,-18.4416,12.7757,-0.0598,5.1449,-1.5592,-0.4446,1.4683
L,-18.3998,13.0688,0.3104,5.1659,-1.6308,-0.5327,-18.4443,13.0557,0.0598,5.1791,-1.5823,-0.4453,0.5850
R,-18.3809,13.3269,0.4481,5.1582,-1.6574,-0.5344,-18.4218,13.2952,0.2341,5.1164,-1.6165,-0.4649,3.7280
L,-18.3550,13.5845,0.5860,5.1466,-1.6842,-0.5360,-18.3688,13.5899,0.4352,5.1623,-1.6549,-0.4787,1.2653
R,-18.3223,13.8414,0.7240,5.1312,-1.7110,-0.5375,-18.3508,13.8664,0.5524,5.1808,-1.6770,-0.4763,3.1367
L,-18.2826,14.0974,0.8620,5.1119,-1.7378,-0.5389,-18.3094,14.1288,0.6955,5.1703,-1.7045,-0.4797,0.0884
R,-18.2361,14.3524,0.9997,5.0887,-1.7648,-0.5403,-18.2646,14.3935,0.8594,5.1403,-1.7365,-0.4931,2.3942
L,-18.1827,14.6061,1.1372,5.0616,-1.7918,-0.5415,-18.2187,14.6192,0.9724,5.0736,-1.7602,-0.4925,0.9525
R,-18.1224,14.8584,1.2742,5.0306,-1.8189,-0.5427,-18.1445,14.8753,1.1813,5.0096,-1.8024,-0.5201,4.3378
L,-18.0553,15.1091,1.4107,4.9956,-1.8460,-0.5438,-18.0621,15.1443,1.3532,5.0011,-1.8351,-0.5261,0.3412
R,-17.9814,15.3578,1.5464,4.9568,-1.8732,-0.5448,-17.9996,15.4052,1.4500,5.0039,-1.8528,-0.5116,1.7913
L,-17.9007,15.6046,1.6812,4.9141,-1.9004,-0.5457,-17.9231,15.6433,1.5745,4.9492,-1.8788,-0.5121,0.1434
R,-17.8133,15.8491,1.8151,4.8675,-1.9277,-0.5465,-17.8455,15.8784,1.6671,4.9120,-1.8980,-0.5003,3.6204
L,-17.7192,16.0912,1.9478,4.8171,-1.9550,-0.5472,-17.7541,16.1076,1.7921,4.8460,-1.9250,-0.5023,0.3712
R,-17.6185,16.3307,2.0792,4.7629,-1.9824,-0.5479,-17.7168,16.3587,1.7698,4.8738,-1.9191,-0.4588,7.6309
L,-17.5113,16.5674,2.2092,4.7049,-2.0098,-0.5484,-17.5600,16.6082,1.9935,4.8298,-1.9622,-0.4771,3.7771
R,-17.3977,16.8011,2.3377,4.6431,-2.0372,-0.5489,-17.4155,16.8190,2.2131,4.6837,-2.0122,-0.5145,5.2422
L,-17.2776,17.0316,2.4645,4.5777,-2.0647,-0.5493,-17.3085,17.0556,2.3232,4.6326,-2.0356,-0.5123,0.0942
R,-17.1512,17.2588,2.5895,4.5087,-2.0921,-0.5496,-17.1562,17.2684,2.5446,4.4814,-2.0872,-0.5531,4.8820
L,-17.0187,17.4824,2.7126,4.4361,-2.1196,-0.5498,-17.0187,17.5308,2.6943,4.4644,-2.1138,-0.5517,1.5925
R,-16.8800,17.7023,2.8336,4.3601,-2.1471,-0.5500,-16.8592,17.7347,2.8642,4.3381,-2.1543,-0.5693,1.8446
L,-16.7354,17.9184,2.9525,4.2805,-2.1746,-0.5500,-16.7334,17.9463,2.9517,4.2568,-2.1771,-0.5642,0.3313
R,-16.5848,18.1303,3.0690,4.1977,-2.2021,-0.5500,-16.5755,18.1523,3.0795,4.1648,-2.2075,-0.5657,0.6517
L,-16.4285,18.3381,3.1831,4.1116,-2.2296,-0.5498,-16.4124,18.3031,3.1866,3.9950,-2.2441,-0.5739,4.0713
R,-16.2665,18.5415,3.2947,4.0223,-2.2571,-0.5496,-16.2688,18.5052,3.2518,3.9362,-2.2613,-0.5568,1.1194
L,-16.0991,18.7403,3.4037,3.9299,-2.2846,-0.5493,-16.0956,18.7057,3.3750,3.8506,-2.2905,-0.5579,0.0491
R,-15.9262,18.9344,3.5100,3.8345,-2.3120,-0.5489,-15.9140,18.8950,3.5043,3.7425,-2.3233,-0.5648,0.5110
L,-15.7481,19.1237,3.6134,3.7363,-2.3395,-0.5484,-15.7211,19.1190,3.6453,3.6952,-2.3494,-0.5622,1.4713
R,-15.5649,19.3080,3.7139,3.6352,-2.3669,-0.5479,-15.5331,19.2950,3.7637,3.5662,-2.3831,-0.5718,0.5319
L,-15.3767,19.4872,3.8114,3.5315,-2.3943,-0.5472,-15.3518,19.4943,3.8563,3.4953,-2.4053,-0.5658,1.0138
R,-15.1838,19.6612,3.9058,3.4252,-2.4217,-0.5465,-15.1442,19.6558,3.9896,3.3407,-2.4445,-0.5829,0.7467
L,-14.9862,19.8297,3.9970,3.3164,-2.4490,-0.5457,-14.9276,19.8559,4.1199,3.2719,-2.4704,-0.5794,1.2665
