sensor,x_gt,y_gt,vx_gt,vy_gt,yaw_gt,yawdot_gt,px,py,vx,vy,yaw,yawdot,NIS
R,-26.3138,-3.1833,-1.3073,4.6295,1.8460,-0.5427,-26.3219,-3.1156,-1.2450,4.7162,1.8289,-0.5967,0.9143
L,-26.3760,-2.9510,-1.1816,4.6649,1.8189,-0.5415,-26.3491,-2.8802,-1.0578,4.7405,1.7903,-0.6047,1.6056
R,-26.4319,-2.7170,-1.0553,4.6970,1.7918,-0.5403,-26.4050,-2.6522,-0.9294,4.7570,1.7637,-0.6012,1.2555
L,-26.4815,-2.4814,-0.9284,4.7256,1.7648,-0.5389,-26.4808,-2.4965,-0.8669,4.6634,1.7546,-0.5838,5.4363
R,-26.5247,-2.2446,-0.8011,4.7509,1.7378,-0.5375,-26.5336,-2.2608,-0.7653,4.6917,1.7325,-0.5734,0.8026
L,-26.5616,-2.0065,-0.6734,4.7728,1.7110,-0.5360,-26.5833,-2.0634,-0.6650,4.6572,1.7126,-0.5661,1.1045
R,-26.5921,-1.7674,-0.5456,4.7914,1.6842,-0.5344,-26.6126,-1.8273,-0.5529,4.6768,1.6885,-0.5570,1.9533
L,-26.6161,-1.5275,-0.4176,4.8066,1.6574,-0.5327,-26.6112,-1.5779,-0.3795,4.7074,1.6512,-0.5652,1.2124
R,-26.6338,-1.2869,-0.2895,4.8185,1.6308,-0.5310,-26.6098,-1.3474,-0.1972,4.7054,1.6127,-0.5807,1.7899
L,-26.6451,-1.0459,-0.1616,4.8271,1.6043,-0.5291,-26.6137,-1.1200,-0.0594,4.6964,1.5835,-0.5811,0.0411
R,-26.6500,-0.8044,-0.0339,4.8324,1.5778,-0.5272,-26.6411,-0.8952,0.0274,4.6884,1.5650,-0.5705,5.0352
L,-26.6485,-0.5628,0.0935,4.8344,1.5515,-0.5252,-26.6514,-0.6441,0.1438,4.7156,1.5403,-0.5668,0.5123
R,-26.6406,-0.3212,0.2206,4.8332,1.5252,-0.5231,-26.6399,-0.4016,0.3083,4.7215,1.5056,-0.5790,2.3073
L,-26.6264,-0.0797,0.3471,4.8287,1.4990,-0.5209,-26.5956,-0.1079,0.5019,4.7915,1.4664,-0.5871,2.7232
R,-26.6059,0.1615,0.4730,4.8212,1.4730,-0.5186,-26.5757,0.1321,0.6422,4.7795,1.4372,-0.5901,2.7622
L,-26.5792,0.4022,0.5983,4.8104,1.4471,-0.5163,-26.5519,0.4233,0.7812,4.8426,1.4109,-0.5863,1.6356
R,-26.5462,0.6423,0.7227,4.7967,1.4212,-0.5139,-26.5371,0.6602,0.8504,4.8187,1.3961,-0.5669,1.7194
L,-26.5069,0.8817,0.8463,4.7799,1.3956,-0.5114,-26.5272,0.9410,0.9414,4.8655,1.3797,-0.5557,2.9926
R,-26.4616,1.1201,0.9690,4.7601,1.3700,-0.5088,-26.4875,1.1972,1.0106,4.8616,1.3658,-0.5307,7.5305
L,-26.4101,1.3575,1.0905,4.7374,1.3445,-0.5061,-26.4284,1.4352,1.1465,4.8249,1.3375,-0.5324,0.0566
R,-26.3526,1.5936,1.2110,4.7118,1.3192,-0.5034,-26.3895,1.6524,1.2058,4.7633,1.3229,-0.5151,8.7087
L,-26.2891,1.8284,1.3302,4.6834,1.2941,-0.5006,-26.3318,1.8647,1.3141,4.6938,1.2978,-0.5149,0.3476
R,-26.2197,2.0617,1.4481,4.6524,1.2690,-0.4977,-26.2656,2.0957,1.4308,4.6549,1.2726,-0.5147,0.1642
L,-26.1444,2.2934,1.5647,4.6186,1.2442,-0.4947,-26.2012,2.2904,1.5268,4.5622,1.2478,-0.5144,0.7978
R,-26.0633,2.5234,1.6798,4.5822,1.2194,-0.4916,-26.1383,2.5158,1.5841,4.5239,1.2340,-0.4955,1.2581
L,-25.9765,2.7514,1.7934,4.5433,1.1948,-0.4885,-26.0570,2.7578,1.6982,4.5096,1.2107,-0.4940,0.1470
R,-25.8841,2.9775,1.9054,4.5020,1.1704,-0.4853,-25.9655,2.9821,1.8487,4.4635,1.1781,-0.5091,2.4335
L,-25.7861,3.2014,2.0158,4.4583,1.1462,-0.4820,-25.8627,3.2598,1.9850,4.4994,1.1553,-0.5059,1.5838
R,-25.6826,3.4231,2.1245,4.4123,1.1221,-0.4786,-25.7803,3.4886,2.0662,4.4621,1.1371,-0.4989,2.2329
L,-25.5737,3.6424,2.2315,4.3640,1.0981,-0.4752,-25.6740,3.6911,2.1735,4.3791,1.1101,-0.5010,0.1900
R,-25.4596,3.8592,2.3366,4.3137,1.0744,-0.4716,-25.5586,3.8992,2.2895,4.3070,1.0822,-0.5043,1.0720
L,-25.3402,4.0735,2.4399,4.2612,1.0508,-0.4680,-25.4905,4.0800,2.3183,4.2106,1.0675,-0.4958,3.9436
R,-25.2157,4.2851,2.5413,4.2069,1.0274,-0.4644,-25.3683,4.2822,2.4269,4.1401,1.0406,-0.4980,0.5688
L,-25.0863,4.4940,2.6407,4.1506,1.0042,-0.4606,-25.2095,4.5012,2.5834,4.0891,1.0073,-0.5049,1.9130
R,-24.9518,4.7000,2.7382,4.0925,0.9811,-0.4568,-25.0592,4.6965,2.6822,4.0077,0.9810,-0.4992,8.9233
L,-24.8126,4.9030,2.8336,4.0327,0.9583,-0.4529,-24.9404,4.8907,2.7546,3.9381,0.9604,-0.4955,0.4871
R,-24.6686,5.1030,2.9270,3.9713,0.9356,-0.4490,-24.7853,5.0817,2.8667,3.8580,0.9318,-0.4977,2.2590
L,-24.5201,5.2999,3.0183,3.9084,0.9132,-0.4450,-24.6173,5.2957,2.9991,3.8148,0.9045,-0.4991,0.8859
R,-24.3670,5.4937,3.1075,3.8440,0.8909,-0.4409,-24.4472,5.4769,3.1489,3.7162,0.8678,-0.5163,0.9097
L,-24.2095,5.6841,3.1946,3.7783,0.8689,-0.4367,-24.2618,5.6512,3.2790,3.6095,0.8333,-0.5239,1.1991
R,-24.0477,5.8713,3.2796,3.7113,0.8471,-0.4325,-24.0963,5.8156,3.3910,3.4966,0.8007,-0.5347,3.3262
L,-23.8818,6.0551,3.3624,3.6431,0.8254,-0.4282,-23.9240,5.9769,3.4814,3.3863,0.7716,-0.5371,0.0687
R,-23.7117,6.2354,3.4430,3.5738,0.8040,-0.4238,-23.7776,6.1563,3.4583,3.3323,0.7668,-0.5026,4.5660
L,-23.5377,6.4123,3.5215,3.5036,0.7828,-0.4193,-23.6102,6.3121,3.5285,3.2327,0.7417,-0.5029,0.1004
R,-23.3598,6.5856,3.5978,3.4324,0.7619,-0.4148,-23.4609,6.4811,3.5353,3.1728,0.7314,-0.4829,2.0281
L,-23.1781,6.7553,3.6718,3.3604,0.7411,-0.4103,-23.2348,6.7016,3.6896,3.1784,0.7111,-0.4776,4.3208
R,-22.9928,6.9215,3.7438,3.2877,0.7206,-0.4056,-23.0410,6.8420,3.7512,3.0643,0.6849,-0.4755,5.5983
L,-22.8040,7.0839,3.8135,3.2143,0.7003,-0.4009,-22.8262,7.0148,3.8632,3.0030,0.6608,-0.4751,1.0122
R,-22.6117,7.2427,3.8811,3.1404,0.6803,-0.3962,-22.6160,7.1515,3.9630,2.8845,0.6292,-0.4840,1.3641
L,-22.4161,7.3978,3.9465,3.0660,0.6605,-0.3913,-22.4302,7.2966,4.0127,2.7976,0.6088,-0.4807,0.3378
R,-22.2173,7.5492,4.0097,2.9912,0.6409,-0.3865,-22.2025,7.4288,4.1644,2.6707,0.5702,-0.5031,2.3882
L,-22.0154,7.6968,4.0709,2.9161,0.6216,-0.3815,-22.0209,7.5892,4.1968,2.6244,0.5588,-0.4908,2.1941
R,-21.8105,7.8406,4.1299,2.8407,0.6025,-0.3765,-21.8366,7.7518,4.1786,2.5995,0.5565,-0.4615,6.0807
L,-21.6026,7.9807,4.1868,2.7653,0.5837,-0.3714,-21.6279,7.8945,4.2380,2.5290,0.5380,-0.4572,0.1404
R,-21.3920,8.1170,4.2417,2.6897,0.5651,-0.3663,-21.4385,8.0251,4.2403,2.4549,0.5248,-0.4447,1.8712
L,-21.1787,8.2496,4.2945,2.6142,0.5468,-0.3611,-21.2129,8.0683,4.2958,2.2247,0.4778,-0.4678,4.0800
R,-20.9628,8.3783,4.3453,2.5387,0.5288,-0.3559,-21.0225,8.2116,4.2463,2.2071,0.4793,-0.4325,7.1108
L,-20.7444,8.5033,4.3941,2.4634,0.5110,-0.3506,-20.8416,8.3610,4.2558,2.1919,0.4756,-0.4164,3.5275
R,-20.5237,8.6246,4.4409,2.3883,0.4934,-0.3452,-20.6026,8.4740,4.3596,2.1005,0.4490,-0.4254,4.0508
L,-20.3006,8.7421,4.4858,2.3136,0.4762,-0.3398,-20.3518,8.6120,4.4537,2.0619,0.4336,-0.4192,1.4803
R,-20.0753,8.8558,4.5288,2.2392,0.4592,-0.3344,-20.1558,8.7338,4.4049,2.0289,0.4316,-0.3921,2.6716
L,-19.8480,8.9659,4.5700,2.1652,0.4425,-0.3288,-19.9543,8.8372,4.4175,1.9526,0.4162,-0.3886,0.6681
R,-19.6186,9.0723,4.6094,2.0918,0.4260,-0.3233,-19.7584,8.9476,4.3704,1.9137,0.4127,-0.3653,2.3086
L,-19.3873,9.1750,4.6469,2.0189,0.4099,-0.3177,-19.5334,9.0242,4.4096,1.8032,0.3882,-0.3710,0.3029
R,-19.1542,9.2741,4.6828,1.9467,0.3940,-0.3120,-19.2968,9.1292,4.4694,1.7470,0.3726,-0.3684,4.4403
L,-18.9193,9.3696,4.7169,1.8751,0.3784,-0.3063,-19.0087,9.2247,4.5909,1.6720,0.3493,-0.3718,5.8132
R,-18.6827,9.4615,4.7494,1.8043,0.3631,-0.3005,-18.7947,9.3058,4.5946,1.5901,0.3332,-0.3690,1.6964
L,-18.4446,9.5500,4.7803,1.7343,0.3480,-0.2947,-18.5375,9.4110,4.6656,1.5497,0.3207,-0.3630,0.9239
R,-18.2049,9.6349,4.8096,1.6651,0.3333,-0.2888,-18.2740,9.4486,4.7746,1.3700,0.2794,-0.3924,5.1278
L,-17.9639,9.7164,4.8374,1.5969,0.3189,-0.2829,-17.9816,9.5799,4.8883,1.3839,0.2759,-0.3765,3.7667
R,-17.7214,9.7946,4.8637,1.5296,0.3047,-0.2770,-17.7387,9.6659,4.8718,1.3477,0.2699,-0.3572,3.1627
L,-17.4777,9.8694,4.8886,1.4634,0.2909,-0.2710,-17.4622,9.7763,4.9487,1.3383,0.2641,-0.3454,1.4949
R,-17.2328,9.9409,4.9120,1.3982,0.2773,-0.2650,-17.2163,9.8514,4.9682,1.2730,0.2508,-0.3413,0.5341
L,-16.9868,10.0091,4.9342,1.3341,0.2641,-0.2589,-16.9427,9.9758,5.0348,1.3006,0.2528,-0.3233,1.9409
R,-16.7396,10.0743,4.9551,1.2711,0.2511,-0.2528,-16.6898,10.0420,5.0519,1.2278,0.2384,-0.3207,0.0784
L,-16.4915,10.1362,4.9747,1.2094,0.2385,-0.2466,-16.4402,10.1499,5.0748,1.2360,0.2389,-0.3055,1.7312
R,-16.2424,10.1952,4.9931,1.1488,0.2261,-0.2404,-16.1849,10.2181,5.1000,1.1712,0.2257,-0.3043,0.5628
L,-15.9924,10.2511,5.0104,1.0896,0.2141,-0.2342,-15.9477,10.2482,5.0869,1.0466,0.2029,-0.3115,0.4543
R,-15.7416,10.3041,5.0266,1.0316,0.2024,-0.2279,-15.7016,10.3112,5.0738,1.0025,0.1951,-0.3009,0.4305
L,-15.4899,10.3543,5.0417,0.9750,0.1910,-0.2216,-15.4783,10.3112,5.0346,0.8423,0.1658,-0.3145,1.4049
R,-15.2376,10.4016,5.0558,0.9197,0.1799,-0.2153,-15.1828,10.3401,5.1516,0.7102,0.1370,-0.3342,7.7802
L,-14.9846,10.4462,5.0689,0.8658,0.1692,-0.2089,-14.9218,10.3971,5.1737,0.6660,0.1280,-0.3270,0.3366
R,-14.7309,10.4882,5.0811,0.8134,0.1587,-0.2025,-14.6792,10.4292,5.1044,0.6213,0.1211,-0.3081,6.4678
L,-14.4766,10.5276,5.0924,0.7624,0.1486,-0.1960,-14.4343,10.4018,5.0831,0.4438,0.0871,-0.3256,1.9060
R,-14.2218,10.5645,5.1029,0.7129,0.1388,-0.1896,-14.1744,10.4265,5.0907,0.3740,0.0733,-0.3217,0.5759
L,-13.9665,10.5989,5.1126,0.6649,0.1293,-0.1831,-13.8708,10.5686,5.1976,0.5132,0.0984,-0.2824,8.4716
R,-13.7107,10.6310,5.1216,0.6185,0.1202,-0.1765,-13.6196,10.6231,5.1498,0.5315,0.1028,-0.2558,2.7205
L,-13.4545,10.6608,5.1298,0.5736,0.1114,-0.1700,-13.3664,10.6256,5.1450,0.4254,0.0825,-0.2629,0.3201
R,-13.1979,10.6884,5.1374,0.5303,0.1029,-0.1634,-13.1052,10.6511,5.1550,0.3699,0.0716,-0.2603,0.2297
L,-12.9409,10.7138,5.1444,0.4886,0.0947,-0.1568,-12.8488,10.7416,5.1743,0.4338,0.0836,-0.2370,4.6238
R,-12.6836,10.7373,5.1507,0.4485,0.0868,-0.1501,-12.5873,10.7893,5.1680,0.4389,0.0847,-0.2207,1.8570
L,-12.4260,10.7587,5.1565,0.4100,0.0793,-0.1435,-12.3487,10.7612,5.1335,0.2950,0.0574,-0.2360,1.3992
R,-12.1681,10.7783,5.1618,0.3732,0.0722,-0.1368,-12.0952,10.7948,5.1090,0.2933,0.0573,-0.2195,1.0595
L,-11.9100,10.7961,5.1666,0.3380,0.0653,-0.1301,-11.8460,10.8572,5.1142,0.3228,0.0630,-0.2041,2.5647
R,-11.6516,10.8121,5.1709,0.3045,0.0588,-0.1233,-11.5721,10.8777,5.1364,0.2887,0.0561,-0.1990,2.7282
L,-11.3930,10.8265,5.1748,0.2728,0.0527,-0.1166,-11.3398,10.8939,5.1047,0.2415,0.0473,-0.1983,0.8164
R,-11.1342,10.8394,5.1784,0.2427,0.0468,-0.1098,-11.0728,10.8402,5.1849,0.0022,0.0004,-0.2500,8.8410
L,-10.8753,10.8509,5.1815,0.2143,0.0413,-0.1031,-10.7805,10.8169,5.2259,-0.1012,-0.0194,-0.2564,2.6370
R,-10.6161,10.8609,5.1844,0.1877,0.0362,-0.0963,-10.5248,10.8134,5.2149,-0.1604,-0.0308,-0.2546,0.1746
L,-10.3569,10.8697,5.1869,0.1628,0.0314,-0.0895,-10.2904,10.8103,5.1766,-0.2154,-0.0416,-0.2531,1.0279
R,-10.0976,10.8772,5.1891,0.1396,0.0269,-0.0826,-10.0453,10.8566,5.1041,-0.1145,-0.0224,-0.2093,6.8945
L,-9.8381,10.8837,5.1911,0.1182,0.0228,-0.0758,-9.7844,10.9010,5.1244,-0.0790,-0.0154,-0.1930,2.3773
R,-9.5785,10.8891,5.1928,0.0986,0.0190,-0.0689,-9.5541,10.8831,5.0729,-0.1419,-0.0280,-0.1937,3.9412
L,-9.3189,10.8936,5.1943,0.0807,0.0155,-0.0621,-9.2927,10.9078,5.0914,-0.1344,-0.0264,-0.1832,0.9062
R,-9.0592,10.8972,5.1956,0.0646,0.0124,-0.0552,-9.0482,10.8888,5.0578,-0.1842,-0.0364,-0.1804,2.6493
